ts,coin,regime,entry_mode,direction,score,confidence,obi,price,bb_width_pct,decision,block_reason,details
2026-07-02T12:15:00+00:00,BTC,ranging,range_fade,,0,C,0.3931,61439.0,0.311,hard_block,"regime_filter: EMA50 upslope 0.239% (uptrend, skip short)","{""vwap_stretch_base"": 25}"
2026-07-02T12:17:00+00:00,BTC,ranging,range_fade,,0,C,0.4934,61413.0,0.2763,hard_block,"regime_filter: EMA50 upslope 0.239% (uptrend, skip short)","{""vwap_stretch_base"": 25}"
2026-07-02T12:19:00+00:00,BTC,ranging,range_fade,,0,C,0.2071,61388.0,0.279,hard_block,"regime_filter: EMA50 upslope 0.239% (uptrend, skip short)","{""vwap_stretch_base"": 25}"
2026-07-02T12:20:00+00:00,BTC,ranging,range_fade,,0,C,0.1025,61363.0,0.2935,hard_block,"regime_filter: EMA50 upslope 0.239% (uptrend, skip short)","{""vwap_stretch_base"": 25}"
2026-07-02T12:23:00+00:00,BTC,ranging,range_fade,,0,C,0.4555,61328.0,0.3282,hard_block,"regime_filter: EMA50 upslope 0.239% (uptrend, skip short)","{""vwap_stretch_base"": 25}"
2026-07-02T12:24:00+00:00,BTC,ranging,range_fade,,0,C,0.4948,61322.0,0.3532,hard_block,"regime_filter: EMA50 upslope 0.239% (uptrend, skip short)","{""vwap_stretch_base"": 25}"
2026-07-02T12:27:00+00:00,BTC,ranging,range_fade,,0,C,0.4225,61353.0,0.2559,hard_block,"regime_filter: EMA50 upslope 0.239% (uptrend, skip short)","{""vwap_stretch_base"": 25}"
2026-07-02T12:28:00+00:00,BTC,ranging,range_fade,,0,C,0.357,61322.0,0.2729,hard_block,"regime_filter: EMA50 upslope 0.239% (uptrend, skip short)","{""vwap_stretch_base"": 25}"
2026-07-02T12:30:00+00:00,BTC,ranging,range_fade,,0,C,0.367,61564.0,0.3773,hard_block,"regime_filter: EMA50 upslope 0.233% (uptrend, skip short)","{""bb_touch"": 25, ""strong_close_penalty"": 0, ""directional_vol"": 5, ""ema50_trend"": -15, ""vwap_stretch"": 20}"
2026-07-02T12:31:00+00:00,BTC,ranging,range_fade,,0,C,0.1322,61474.0,0.3933,hard_block,"regime_filter: EMA50 upslope 0.233% (uptrend, skip short)","{""vwap_stretch_base"": 25}"
2026-07-02T12:33:00+00:00,BTC,ranging,range_fade,,0,C,0.025,61361.0,0.4436,hard_block,"regime_filter: EMA50 upslope 0.233% (uptrend, skip short)","{""vwap_stretch_base"": 25}"
2026-07-02T12:42:00+00:00,BTC,ranging,range_fade,,0,C,0.3292,61444.0,0.581,hard_block,"regime_filter: EMA50 upslope 0.233% (uptrend, skip short)","{""vwap_stretch_base"": 25}"
2026-07-02T12:44:00+00:00,BTC,ranging,range_fade,,0,C,0.406,61492.0,0.5352,hard_block,"regime_filter: EMA50 upslope 0.229% (uptrend, skip short)","{""vwap_stretch_base"": 25}"
2026-07-02T12:45:00+00:00,BTC,ranging,range_fade,,0,C,0.4139,61492.0,0.4969,hard_block,"regime_filter: EMA50 upslope 0.229% (uptrend, skip short)","{""vwap_stretch_base"": 25}"
2026-07-02T13:57:00+00:00,BTC,trend_up,trend_pullback,long,95,A,0.4418,61991.0,0.317,entered,,"{""pullback_zone"": 30, ""rsi_pullback"": 10, ""rsi_5m_intact"": 5, ""candle_1m"": 10, ""candle_5m"": 0, ""trend_15m"": 15, ""directional_vol"": 0, ""obi_bonus"": 15, ""bid_wall"": 10, ""spread_penalty"": -10, ""time_filter"": 10}"
