time,coin,dir,px,sz,ntl,fee,closedPnl
14:11:28 27/6/2026,HYPE,Open Long,61.62,0.24,14.788799999999998,0.006654,-0.006654
14:12:13 27/6/2026,HYPE,Close Long,60.88,0.24,14.6112,0.006575,-0.184175
14:53:01 27/6/2026,BTC,Open Long,60002,0.0083,498.0166,0.224107,-0.224107
15:05:01 27/6/2026,BTC,Open Long,60208,0.0083,499.7264,0.224876,-0.224876
15:21:29 27/6/2026,BTC,Close Long,60332,0.0083,500.7556,0.075113,1.8089870000000001
15:35:15 27/6/2026,BTC,Open Long,60213,0.00118,71.05134000000001,0.010657,-0.010657
15:36:32 27/6/2026,BTC,Open Long,60213,0.00712,428.71655999999996,0.064307,-0.064307
15:42:01 27/6/2026,BTC,Open Long,60174,0.0083,499.4442,0.224749,-0.224749
16:05:01 27/6/2026,BTC,Open Long,60265.4096385542,0.0166,1000.4057999999998,0.450182,-0.450182
16:45:03 27/6/2026,BTC,Open Long,59993,0.00018,10.79874,0.001619,-0.001619
16:45:08 27/6/2026,BTC,Open Long,59993,0.00102,61.19286,0.009178,-0.009178
16:45:24 27/6/2026,BTC,Open Long,59993,0.00055,32.99615,0.004949,-0.004949
16:46:39 27/6/2026,BTC,Open Long,59993,0.00055,32.99615,0.004949,-0.004949
16:46:55 27/6/2026,BTC,Open Long,59993,0.00325,194.97725,0.029246,-0.029246
16:47:59 27/6/2026,BTC,Open Long,59993,0.00032,19.197760000000002,0.002879,-0.002879
16:48:46 27/6/2026,BTC,Open Long,59993,0.0024,143.98319999999998,0.021597,-0.021597
16:49:36 27/6/2026,BTC,Open Long,59993,0.00003,1.79979,0.000269,-0.000269
16:54:02 27/6/2026,BTC,Open Long,60000,0.0083,498,0.2241,-0.2241
17:14:01 27/6/2026,BTC,Open Long,60000,0.0167,1002,0.4509,-0.4509
18:11:36 27/6/2026,BTC,Open Long,59983,0.00055,32.99065,0.004948,-0.004948
18:12:05 27/6/2026,BTC,Open Long,59983,0.00033,19.79439,0.002969,-0.002969
18:13:15 27/6/2026,BTC,Open Long,59983,0.00238,142.75954000000002,0.021413,-0.021413
18:16:32 27/6/2026,BTC,Open Long,59983,0.00055,32.99065,0.004948,-0.004948
18:17:51 27/6/2026,BTC,Open Long,59983,0.00033,19.79439,0.002969,-0.002969
18:17:52 27/6/2026,BTC,Open Long,59983,0.0003,17.994899999999998,0.002699,-0.002699
18:17:53 27/6/2026,BTC,Open Long,59983,0.00029,17.39507,0.002609,-0.002609
18:18:01 27/6/2026,BTC,Open Long,59983,0.00033,19.79439,0.002969,-0.002969
18:19:23 27/6/2026,BTC,Open Long,59983,0.00238,142.75954000000002,0.021413,-0.021413
18:19:43 27/6/2026,BTC,Open Long,59983,0.00055,32.99065,0.004948,-0.004948
18:20:05 27/6/2026,BTC,Open Long,59983,0.0025,149.9575,0.022493,-0.022493
18:20:20 27/6/2026,BTC,Open Long,59983,0.002,119.96600000000001,0.017994,-0.017994
18:21:12 27/6/2026,BTC,Open Long,59983,0.00055,32.99065,0.004948,-0.004948
18:22:27 27/6/2026,BTC,Open Long,59983,0.00055,32.99065,0.004948,-0.004948
18:22:37 27/6/2026,BTC,Open Long,59983,0.00238,142.75954000000002,0.021413,-0.021413
18:22:41 27/6/2026,BTC,Open Long,59983,0.00017,10.19711,0.001529,-0.001529
18:25:28 27/6/2026,BTC,Open Long,59983,0.00055,32.99065,0.004948,-0.004948
18:25:52 27/6/2026,BTC,Open Long,59983,0.00001,0.5998300000000001,0.000089,-0.000089
